"Log10PValue","Tissue.Specific.Genes","fold.change","Tissue"
"EVT",1.35487473768979,3,13.5964285714286,"Extravillous trophoblast"
"fFB1",0.348730864766899,2,7.65995975855131,"Fetal Fibroblasts Cluster 1"
"SCT",0.239759739222316,2,5.33193277310924,"Syncytiotrophoblast"
"Endo.L",0.195195232417981,1,5.97645211930926,"Endothelial cells (L)"
"Epi2",0.195195232417981,1,3.67471042471042,"Epithelial glandular cells Cluster 2"
"Endo..f.",0.195195232417981,1,4.42160278745645,"Endothelial cells (Fetal)"
"dS3",0.195195232417981,1,5.2293956043956,"Stromal cells Cluster 3"
"VCT",0.195195232417981,1,4.24888392857143,"Villous cytotrophoblast"
"dM3",0.195195232417981,1,9.21791767554479,"Decidual macrophages Cluster 3"
"Endo..m.",0.195195232417981,1,4.38594470046083,"Endothelial cells (Maternal)"
"fFB2",0.195195232417981,1,3.94099378881988,"Fetal Fibroblasts Cluster 2"
"ILC3",0.195195232417981,1,11.3303571428571,"Innate lymphocyte cells 3"
"dM2",0,0,0,"Decidual macrophages Cluster 2"
"dNK.p",0,0,0,"Decidual natural killer proliferative"
"dS1",0,0,0,"Stromal cells Cluster 1"
"NK.CD16..1",0,0,0,"Blood Natural Killer Cells CD16+"
"HB",0,0,0,"Hofbauer cells"
"dNK3",0,0,0,"Decidual natural killer Cluster 3"
"NK.CD16.",0,0,0,"Blood Natural Killer Cells CD16-"
"Plasma",0,0,0,"Plasma"
"dNK1",0,0,0,"Decidual natural killer Cluster 1"
"dM1",0,0,0,"Decidual macrophages Cluster 1"
"dS2",0,0,0,"Stromal cells Cluster 2"
"Tcells",0,0,0,"T cells"
"MO",0,0,0,"Macrophages"
"DC1",0,0,0,"Dendritic cells Cluster 1"
"dP1",0,0,0,"Decidua Perivascular cells Cluster 1"
"DC2",0,0,0,"Dendritic cells Cluster 2"
"Granulocytes",0,0,0,"Granulocytes"
"dP2",0,0,0,"Decidua Perivascular cells Cluster 2"
"Epi1",0,0,0,"Epithelial glandular cells Cluster 1"
"dNK2",0,0,0,"Decidual natural killer Cluster 2"
