"Log10PValue","Tissue.Specific.Genes","fold.change","Tissue"
"dS2",2.28926341847855,3,28.2,"Stromal cells Cluster 2"
"dS1",0.170702243936235,1,14.1,"Stromal cells Cluster 1"
"Plasma",0.170702243936235,1,11.3709677419355,"Plasma"
"dP2",0.170702243936235,1,16.7857142857143,"Decidua Perivascular cells Cluster 2"
"dS3",0.0638329300419014,1,6.77884615384615,"Stromal cells Cluster 3"
"Endo..m.",0.0638329300419014,1,5.68548387096774,"Endothelial cells (Maternal)"
"dM2",0,0,0,"Decidual macrophages Cluster 2"
"Endo.L",0,0,0,"Endothelial cells (L)"
"EVT",0,0,0,"Extravillous trophoblast"
"Epi2",0,0,0,"Epithelial glandular cells Cluster 2"
"Endo..f.",0,0,0,"Endothelial cells (Fetal)"
"dNK.p",0,0,0,"Decidual natural killer proliferative"
"fFB1",0,0,0,"Fetal Fibroblasts Cluster 1"
"VCT",0,0,0,"Villous cytotrophoblast"
"NK.CD16..1",0,0,0,"Blood Natural Killer Cells CD16+"
"HB",0,0,0,"Hofbauer cells"
"dNK3",0,0,0,"Decidual natural killer Cluster 3"
"NK.CD16.",0,0,0,"Blood Natural Killer Cells CD16-"
"dNK1",0,0,0,"Decidual natural killer Cluster 1"
"SCT",0,0,0,"Syncytiotrophoblast"
"dM1",0,0,0,"Decidual macrophages Cluster 1"
"dM3",0,0,0,"Decidual macrophages Cluster 3"
"Tcells",0,0,0,"T cells"
"MO",0,0,0,"Macrophages"
"fFB2",0,0,0,"Fetal Fibroblasts Cluster 2"
"DC1",0,0,0,"Dendritic cells Cluster 1"
"dP1",0,0,0,"Decidua Perivascular cells Cluster 1"
"DC2",0,0,0,"Dendritic cells Cluster 2"
"Granulocytes",0,0,0,"Granulocytes"
"ILC3",0,0,0,"Innate lymphocyte cells 3"
"Epi1",0,0,0,"Epithelial glandular cells Cluster 1"
"dNK2",0,0,0,"Decidual natural killer Cluster 2"
