CellType	Log10PValue	Tissue.Specific.Genes	fold.change	Tissue	Genes
SCT	61.7372426620791	60	21.5328054298643	Syncytiotrophoblast	ABHD5;ALAS1;TFRC;RHOBTB1;TMEM40;EZR;TSC22D1;TUSC3;CGB3;LGALS13;TFPI2;KRT23;KRT18;CMAS;SDC1;PGF;INSL4;INHA;CDO1;CDKN1C;GADD45G;MLLT1;GDF15;ANXA1;CGA;TFAP2A;FDX1;CYP19A1;SLC40A1;SLC49A4;SECISBP2L;CYP11A1;PLIN2;HSPB8;DAB2;BTG3;XAGE2;S100P;HPGD;SLC13A4;MUC15;CLIC3;KRT8;PSG6;OVOL1;PHOSPHO1;TDRP;PHLDA2;HEXIM1;SIAH1;MFAP5;PSG5;PSG3;KIAA0040;PSG2;ERVW-1;ERVFRD-1;CEBPA;LGALS16;ERVV-1
EVT	12.1178789729452	18	10.9817307692308	Extravillous trophoblast	TFPI;SYDE1;PTN;KRT18;PGF;CDKN1C;RFK;TFAP2A;CYP11A1;ADM;XAGE2;S100P;HPGD;HTRA4;KRT8;PHLDA2;MFAP5;VGLL3
VCT	7.58936884373295	14	8.00751201923077	Villous cytotrophoblast	TUSC3;KRT23;CDO1;MLLT1;TFAP2A;XAGE2;S100P;SLC13A4;KRT8;TDRP;PHLDA2;SIAH1;CKMT1B;ERVW-1
dS3	3.99006548729361	9	6.33561390532544	Stromal cells Cluster 3	MGST1;CD59;TIMP3;CRYAB;GADD45G;RAMP1;LUM;ADM;MAOA
dS2	3.32689853318907	7	6.83307692307692	Stromal cells Cluster 2	MMP2;TIMP3;IGFBP5;GADD45G;RAMP1;LUM;IGFBP3
dM3	2.17424922788069	5	6.20436766623207	Decidual macrophages Cluster 3	FTL;LGMN;SPP1;CPM;CTSB
dM1	1.85709747635994	5	5.08413461538462	Decidual macrophages Cluster 1	MXD1;FTL;HMOX1;SOD2;TREM1
HB	1.76507907289264	5	4.69304733727811	Hofbauer cells	FTL;LGMN;SPP1;ATP1B1;DAB2
Endo..m.	1.59370715189368	6	3.54249379652606	Endothelial cells (Maternal)	TSC22D1;ENG;CPE;ARRDC3;CRIP2;FAM43A
Endo.L	0.950603596005511	4	3.21808960270499	Endothelial cells (L)	TFPI;RAI14;CRIP2;FAM43A
fFB1	0.950603596005511	5	2.57787107258938	Fetal Fibroblasts Cluster 1	IGFBP3;COL1A2;COL3A1;PPIC;DIO3
dP1	0.950603596005511	4	3.08259109311741	Decidua Perivascular cells Cluster 1	CPE;IGFBP5;CPM;COL1A2
Epi1	0.950603596005511	4	2.98822605965463	Epithelial glandular cells Cluster 1	CRYAB;SEC11C;MAOA;ANXA4
Epi2	0.919528439626597	5	2.47336278586279	Epithelial glandular cells Cluster 2	MGST1;CRYAB;GDF15;MAOA;ANXA4
Endo..f.	0.725208003380048	4	2.38086303939963	Endothelial cells (Fetal)	TFPI2;CRIP2;FAM43A;DIO3
dS1	0.52581940859843	2	2.92846153846154	Stromal cells Cluster 1	IGFBP5;RAMP1
MO	0.387491489383281	2	2.28786057692308	Macrophages	FTL;S100A9
NK.CD16.	0.350508906457267	1	3.48626373626374	Blood Natural Killer Cells CD16-	HOPX
dM2	0.313516653270846	2	1.80769230769231	Decidual macrophages Cluster 2	FTL;DAB2
fFB2	0.313516653270846	3	1.59155518394649	Fetal Fibroblasts Cluster 2	PTN;COL1A2;COL3A1
Granulocytes	0.287793172994178	1	2.44038461538462	Granulocytes	HPGD
dP2	0.206459576991587	1	1.74313186813187	Decidua Perivascular cells Cluster 2	COL1A2
dNK2	0.206459576991587	1	1.7025939177102	Decidual natural killer Cluster 2	HOPX
dNK3	0.155187056172578	1	1.35576923076923	Decidual natural killer Cluster 3	HOPX
NK.CD16..1	0.155161757685115	1	1.22019230769231	Blood Natural Killer Cells CD16+	HOPX
dNK1	0.155161757685115	1	1.20018915510719	Decidual natural killer Cluster 1	HOPX
dNK.p	0.150105793580288	1	1.10926573426573	Decidual natural killer proliferative	HOPX
Plasma	0	0	0	Plasma	
Tcells	0	0	0	T cells	
DC1	0	0	0	Dendritic cells Cluster 1	
DC2	0	0	0	Dendritic cells Cluster 2	
ILC3	0	0	0	Innate lymphocyte cells 3	
