CellType	Log10PValue	Tissue.Specific.Genes	fold.change	Tissue	Genes
fFB1	2.20658718379751	8	5.05846399149615	Fetal Fibroblasts Cluster 1	IGF2BP2;CCDC80;FN1;TGFBI;COL5A1;ADAM12;MME;ENPP1
EVT	1.44046319745662	6	4.48938679245283	Extravillous trophoblast	LIMA1;FN1;PAPPA2;TPM1;ADAM12;HSD3B1
SCT	0.541337999869178	6	2.64081576026637	Syncytiotrophoblast	CSF3R;INHBA;RDH13;P2RY6;MME;HSD3B1
VCT	0.532534886689772	4	2.80586674528302	Villous cytotrophoblast	CSF3R;ECHDC2;ADAMTSL4;P2RY6
dS2	0.532534886689772	3	3.59150943396226	Stromal cells Cluster 2	IGFBP5;MEIS1;TGM2
Endo..m.	0.532534886689772	4	2.89637857577602	Endothelial cells (Maternal)	ARHGAP29;HSPG2;SESN3;EMP2
fFB2	0.503595169537066	4	2.6025430680886	Fetal Fibroblasts Cluster 2	PDGFRB;CALD1;COL5A1;ADAMTS18
Endo.L	0.49586096496328	3	2.9600352477711	Endothelial cells (L)	PPFIBP1;ARHGAP29;EMP2
dP1	0.49586096496328	3	2.83540218470705	Decidua Perivascular cells Cluster 1	PDGFRB;IGFBP5;CALD1
dM2	0	1	1.10849056603774	Decidual macrophages Cluster 2	
Epi2	0	1	0.606673890872004	Epithelial glandular cells Cluster 2	
Endo..f.	0	2	1.45996318453751	Endothelial cells (Fetal)	
dNK.p	0	0	0	Decidual natural killer proliferative	
dS3	0	0	0	Stromal cells Cluster 3	
dS1	0	1	1.79575471698113	Stromal cells Cluster 1	
NK.CD16..1	0	0	0	Blood Natural Killer Cells CD16+	
HB	0	0	0	Hofbauer cells	
dNK3	0	0	0	Decidual natural killer Cluster 3	
NK.CD16.	0	0	0	Blood Natural Killer Cells CD16-	
Plasma	0	1	1.44818928788801	Plasma	
dNK1	0	0	0	Decidual natural killer Cluster 1	
dM1	0	0	0	Decidual macrophages Cluster 1	
dM3	0	0	0	Decidual macrophages Cluster 3	
Tcells	0	0	0	T cells	
MO	0	0	0	Macrophages	
DC1	0	0	0	Dendritic cells Cluster 1	
DC2	0	0	0	Dendritic cells Cluster 2	
Granulocytes	0	0	0	Granulocytes	
dP2	0	0	0	Decidua Perivascular cells Cluster 2	
ILC3	0	1	1.87057783018868	Innate lymphocyte cells 3	
Epi1	0	0	0	Epithelial glandular cells Cluster 1	
dNK2	0	0	0	Decidual natural killer Cluster 2	
