CellType	Log10PValue	Tissue.Specific.Genes	fold.change	Tissue	Genes
Epi2	0.809864363385209	7	3.38460170697013	Epithelial glandular cells Cluster 2	KLF5;CLDN10;ASRGL1;ELF3;CKB;RIMKLB;JUP
Endo.L	0.499232272654377	4	3.14550111542593	Endothelial cells (L)	SPTBN1;AKAP12;GJA1;FABP5
dM3	0.499232272654377	3	3.63865171403084	Decidual macrophages Cluster 3	CTSD;GPNMB;FABP5
Endo..m.	0.499232272654377	5	2.8854899345137	Endothelial cells (Maternal)	WWTR1;SPTBN1;ID1;UGCG;RALGAPA2
Epi1	0.499232272654377	4	2.92082246432408	Epithelial glandular cells Cluster 1	CLDN10;ASRGL1;RIMKLB;S100A13
EVT	0.329632786718689	4	2.38533834586466	Extravillous trophoblast	HMGB3;TMEM54;TUBA1C;JPT1
VCT	0.319267968483973	4	2.23625469924812	Villous cytotrophoblast	HMGB3;ASS1;IDH1;ECI1
dS1	0.209108584387342	2	2.86240601503759	Stromal cells Cluster 1	PLPP1;CKB
Endo..f.	0.0564493078244219	3	1.74536952136439	Endothelial cells (Fetal)	WWTR1;SPTBN1;RFLNB
dM2	0	0	0	Decidual macrophages Cluster 2	
dNK.p	0	0	0	Decidual natural killer proliferative	
dS3	0	2	1.37615673799884	Stromal cells Cluster 3	
fFB1	0	3	1.51183416287197	Fetal Fibroblasts Cluster 1	
NK.CD16..1	0	0	0	Blood Natural Killer Cells CD16+	
HB	0	0	0	Hofbauer cells	
dNK3	0	0	0	Decidual natural killer Cluster 3	
NK.CD16.	0	0	0	Blood Natural Killer Cells CD16-	
Plasma	0	1	1.15419597380548	Plasma	
dNK1	0	0	0	Decidual natural killer Cluster 1	
SCT	0	2	0.7015701017249	Syncytiotrophoblast	
dM1	0	0	0	Decidual macrophages Cluster 1	
dS2	0	1	0.954135338345865	Stromal cells Cluster 2	
Tcells	0	0	0	T cells	
MO	0	0	0	Macrophages	
fFB2	0	2	1.03710362863681	Fetal Fibroblasts Cluster 2	
DC1	0	0	0	Dendritic cells Cluster 1	
dP1	0	1	0.753264740799367	Decidua Perivascular cells Cluster 1	
DC2	0	0	0	Dendritic cells Cluster 2	
Granulocytes	0	0	0	Granulocytes	
dP2	0	0	0	Decidua Perivascular cells Cluster 2	
ILC3	0	0	0	Innate lymphocyte cells 3	
dNK2	0	0	0	Decidual natural killer Cluster 2	
