CellType	Log10PValue	Tissue.Specific.Genes	fold.change	Tissue	Genes
dNK.p	0.755130599401489	2	18.0255681818182	Decidual natural killer proliferative	PCLAF;RRM2
Endo..f.	0.538152930488979	2	9.67225609756098	Endothelial cells (Fetal)	CCND1;LIN28B
Granulocytes	0.279479182055828	1	19.828125	Granulocytes	PCLAF
dM2	0	0	0	Decidual macrophages Cluster 2	
Endo.L	0	0	0	Endothelial cells (L)	
EVT	0	1	4.95703125	Extravillous trophoblast	
Epi2	0	0	0	Epithelial glandular cells Cluster 2	
dS3	0	0	0	Stromal cells Cluster 3	
dS1	0	0	0	Stromal cells Cluster 1	
fFB1	0	0	0	Fetal Fibroblasts Cluster 1	
VCT	0	1	4.647216796875	Villous cytotrophoblast	
NK.CD16..1	0	0	0	Blood Natural Killer Cells CD16+	
HB	0	0	0	Hofbauer cells	
dNK3	0	0	0	Decidual natural killer Cluster 3	
NK.CD16.	0	0	0	Blood Natural Killer Cells CD16-	
Plasma	0	0	0	Plasma	
dNK1	0	0	0	Decidual natural killer Cluster 1	
SCT	0	1	2.91590073529412	Syncytiotrophoblast	
dM1	0	0	0	Decidual macrophages Cluster 1	
dM3	0	0	0	Decidual macrophages Cluster 3	
dS2	0	0	0	Stromal cells Cluster 2	
Tcells	0	0	0	T cells	
MO	0	0	0	Macrophages	
Endo..m.	0	0	0	Endothelial cells (Maternal)	
fFB2	0	0	0	Fetal Fibroblasts Cluster 2	
DC1	0	0	0	Dendritic cells Cluster 1	
dP1	0	0	0	Decidua Perivascular cells Cluster 1	
DC2	0	0	0	Dendritic cells Cluster 2	
dP2	0	0	0	Decidua Perivascular cells Cluster 2	
ILC3	0	0	0	Innate lymphocyte cells 3	
Epi1	0	0	0	Epithelial glandular cells Cluster 1	
dNK2	0	0	0	Decidual natural killer Cluster 2	
