CellType	Log10PValue	Tissue.Specific.Genes	fold.change	Tissue	Genes
fFB1	17.1272242211397	30	8.29170901698853	Fetal Fibroblasts Cluster 1	COPZ2;VCAN;CCDC80;PCOLCE;OGN;COL1A1;PMP22;SPARC;FN1;CCND2;LOXL1;GSTM3;FST;PDGFRA;CKAP4;ENPP2;FBLN5;CDH11;COL6A2;ADAMTS5;CREB3L1;PLPP3;ACTG2;COL1A2;COL3A1;EFEMP2;DLK1;MMP23B;COL5A2;FXYD1
dP2	8.23809885475728	12	11.2135493372607	Decidua Perivascular cells Cluster 2	AEBP1;ACTA2;COL1A1;RND3;PRRX1;FGF7;COL6A2;ACTG2;COL1A2;BGN;SELENOM;FXYD1
dS2	8.22365606425262	15	7.84948453608248	Stromal cells Cluster 2	DCN;VCAN;PCOLCE;RBP1;IGFBP2;C3;FST;PDGFRA;FBLN5;IGFBP4;COL6A2;ZEB1;ADAMTS5;PAPPA;FXYD1
fFB2	6.93753308089345	18	5.11922904527118	Fetal Fibroblasts Cluster 2	VCAN;COL1A1;SPARC;LOXL1;CKAP4;COL6A2;ACTG2;COL1A2;COL3A1;LAMB2;EFEMP2;CD248;NR2F1;BGN;DLK1;MMP23B;COL5A2;FXYD1
dS3	5.59813296868832	14	5.28330689928628	Stromal cells Cluster 3	DCN;FERMT2;OGN;CRYAB;RBP1;IGFBP2;FBLN5;IGFBP4;ABI3BP;ADAMTS5;CITED2;CD248;SELENOM;FXYD1
dP1	5.34576953373448	13	5.37069994574064	Decidua Perivascular cells Cluster 1	ACTA2;COL1A1;SPARC;PRRX1;COL6A2;FAM13C;IGFBP7;EBF1;COL1A2;SDC2;BGN;SLIT3;FXYD1
dS1	2.92768375494386	7	5.49463917525773	Stromal cells Cluster 1	MEDAG;PCOLCE;ACTA2;C3;PDGFRA;COL6A2;FXYD1
Endo..m.	2.28834480749666	10	3.16511473229132	Endothelial cells (Maternal)	HES1;SPTBN1;ID3;ENPP2;APP;NFIB;IGFBP7;TGFBR2;SPRY1;TCF4
Endo.L	0.990291771140374	6	2.58774215475246	Endothelial cells (L)	LAMA4;SPTBN1;EFEMP1;APP;NFIB;CAVIN2
ILC3	0.404661046796858	3	2.45296391752577	Innate lymphocyte cells 3	CCL20;SPRY1;PCDH9
Endo..f.	0.223986649809612	5	1.59542368619562	Endothelial cells (Fetal)	ITM2A;LXN;SPTBN1;NFIB;CAVIN2
Epi1	0.193686661398546	4	1.60193561960867	Epithelial glandular cells Cluster 1	CRYAB;FGF7;ARID5B;GPX3
Epi2	0.128121231546066	5	1.32592644190582	Epithelial glandular cells Cluster 2	CP;CRYAB;CCL20;SAA1;GPX3
HB	0.128121231546066	3	1.50951625693894	Hofbauer cells	BLVRB;PMP22;MAF
EVT	0.107660381927501	4	1.30824742268041	Extravillous trophoblast	FN1;LOXL1;PPP1R14B;MFAP5
dNK3	0.095100077032974	2	1.45360824742268	Decidual natural killer Cluster 3	TUBA4A;PIK3R1
Plasma	0.0520694236820489	2	1.26604589291653	Plasma	PPP1R14B;TCF4
dM1	0.00899870119016161	2	1.09020618556701	Decidual macrophages Cluster 1	CCL20;RASGEF1B
dM2	0	2	0.969072164948454	Decidual macrophages Cluster 2	
dNK.p	0	0	0	Decidual natural killer proliferative	
VCT	0	3	0.919861469072165	Villous cytotrophoblast	
NK.CD16..1	0	1	0.654123711340206	Blood Natural Killer Cells CD16+	
NK.CD16.	0	0	0	Blood Natural Killer Cells CD16-	
dNK1	0	1	0.643400371810039	Decidual natural killer Cluster 1	
SCT	0	2	0.384778653729533	Syncytiotrophoblast	
dM3	0	0	0	Decidual macrophages Cluster 3	
Tcells	0	0	0	T cells	
MO	0	0	0	Macrophages	
DC1	0	0	0	Dendritic cells Cluster 1	
DC2	0	0	0	Dendritic cells Cluster 2	
Granulocytes	0	0	0	Granulocytes	
dNK2	0	0	0	Decidual natural killer Cluster 2	
