CellType	Log10PValue	Tissue.Specific.Genes	fold.change	Tissue	Genes
dNK.p	33.3324241115187	20	94.5603576751118	Decidual natural killer proliferative	ASPM;TPX2;BIRC5;UBE2S;SMC4;CDC20;CENPF;TOP2A;NUSAP1;CCNA2;MKI67;CCNB2;HMGB2;MAD2L1;PCLAF;PLK1;CDK1;RRM2;UBE2C;AURKB
EVT	2.02205357091259	4	10.4016393442623	Extravillous trophoblast	CCNB1;TUBA1C;RRM2;JPT1
Granulocytes	0.00880239932320605	1	10.4016393442623	Granulocytes	PCLAF
dM2	0	0	0	Decidual macrophages Cluster 2	
Endo.L	0	1	3.42911187173482	Endothelial cells (L)	
Epi2	0	0	0	Epithelial glandular cells Cluster 2	
Endo..f.	0	1	2.53698520591763	Endothelial cells (Fetal)	
dS3	0	0	0	Stromal cells Cluster 3	
dS1	0	0	0	Stromal cells Cluster 1	
fFB1	0	0	0	Fetal Fibroblasts Cluster 1	
VCT	0	1	2.43788422131148	Villous cytotrophoblast	
NK.CD16..1	0	0	0	Blood Natural Killer Cells CD16+	
HB	0	0	0	Hofbauer cells	
dNK3	0	0	0	Decidual natural killer Cluster 3	
NK.CD16.	0	0	0	Blood Natural Killer Cells CD16-	
Plasma	0	0	0	Plasma	
dNK1	0	0	0	Decidual natural killer Cluster 1	
SCT	0	1	1.52965284474446	Syncytiotrophoblast	
dM1	0	0	0	Decidual macrophages Cluster 1	
dM3	0	1	5.28896915809947	Decidual macrophages Cluster 3	
dS2	0	0	0	Stromal cells Cluster 2	
Tcells	0	0	0	T cells	
MO	0	0	0	Macrophages	
Endo..m.	0	0	0	Endothelial cells (Maternal)	
fFB2	0	1	2.26122594440485	Fetal Fibroblasts Cluster 2	
DC1	0	0	0	Dendritic cells Cluster 1	
dP1	0	0	0	Decidua Perivascular cells Cluster 1	
DC2	0	0	0	Dendritic cells Cluster 2	
dP2	0	0	0	Decidua Perivascular cells Cluster 2	
ILC3	0	0	0	Innate lymphocyte cells 3	
Epi1	0	0	0	Epithelial glandular cells Cluster 1	
dNK2	0	0	0	Decidual natural killer Cluster 2	
